source_row,course_id,raw_time,room_id,building,floor,room_number,capacity,raw_room
259,15761004,"수6 ,수7 ,수8",AI관-716,AI관,7,716,30,AI관-716
260,15761005,"금2 ,금3 ,금4",AI관-716,AI관,7,716,30,AI관-716
261,15762004,"목6 ,목7 ,목8",AI관-716,AI관,7,716,20,AI관-716
257,15816007,"화5 ,화6 ,화7 ,화8",AI관-716,AI관,7,716,40,AI관-716
264,15178002,"화2 ,화3 ,화4 ,화5 ,화6 ,화7",AI관-717,AI관,7,717,15,AI관-717
262,15762001,"월4 ,월5 ,월6",AI관-717,AI관,7,717,20,AI관-717
263,15762003,"목6 ,목7 ,목8",AI관-717,AI관,7,717,20,AI관-717
265,15978034,월10,AI관-719,AI관,7,719,20,AI관-719
266,15978138,월10,AI관-737,AI관,7,737,25,AI관-737
267,15978080,월10,AI관-741,AI관,7,741,20,AI관-741
